,time,region,quantile,horizon,Cases
122,2018-01-01,BLM,0.99,3,7.181489763259887
123,2018-02-01,BLM,0.99,4,7.4895317220687865
124,2018-03-01,BLM,0.99,5,6.790491757392882
125,2018-04-01,BLM,0.99,6,7.144684238433837
0,2017-12-01,BLM,0.01,1,-0.43442865580320356
1,2018-01-01,BLM,0.01,2,-0.4070422053337097
2,2018-02-01,BLM,0.01,3,-0.41685062646865845
3,2018-03-01,BLM,0.01,4,-0.43689835637807845
4,2018-04-01,BLM,0.01,5,-0.4031844890117645
5,2018-05-01,BLM,0.01,6,-0.3835573050379753
6,2017-12-01,BLM,0.05,1,-0.15460562407970427
7,2018-01-01,BLM,0.05,2,-0.2344361752271652
8,2018-02-01,BLM,0.05,3,-0.20069401785731314
9,2018-03-01,BLM,0.05,4,-0.10068589858710765
10,2018-04-01,BLM,0.05,5,-0.14806864708662032
11,2018-05-01,BLM,0.05,6,-0.09947653524577617
12,2017-12-01,BLM,0.1,1,-0.050276289507746694
13,2018-01-01,BLM,0.1,2,-0.10261736363172531
14,2018-02-01,BLM,0.1,3,-0.0841642752289772
15,2018-03-01,BLM,0.1,4,-0.05714374929666519
16,2018-04-01,BLM,0.1,5,-0.09556827396154403
17,2018-05-01,BLM,0.1,6,-0.062139129266142845
18,2017-12-01,BLM,0.15,1,0.02795242024585604
19,2018-01-01,BLM,0.15,2,-0.07238888293504715
20,2018-02-01,BLM,0.15,3,-0.06388361752033234
21,2018-03-01,BLM,0.15,4,-0.03935572244226933
22,2018-04-01,BLM,0.15,5,-0.06734920032322407
23,2018-05-01,BLM,0.15,6,-0.042537406831979756
24,2017-12-01,BLM,0.2,1,0.09857256412506105
25,2018-01-01,BLM,0.2,2,-0.029263585433363895
26,2018-02-01,BLM,0.2,3,-0.054447485506534575
27,2018-03-01,BLM,0.2,4,-0.0347634457051754
28,2018-04-01,BLM,0.2,5,-0.045619785040616985
29,2018-05-01,BLM,0.2,6,-0.03318306505680084
30,2017-12-01,BLM,0.25,1,0.17299222201108932
31,2018-01-01,BLM,0.25,2,0.03750225715339184
32,2018-02-01,BLM,0.25,3,-0.04721652530133724
33,2018-03-01,BLM,0.25,4,-0.028562109917402267
34,2018-04-01,BLM,0.25,5,-0.03320920001715422
35,2018-05-01,BLM,0.25,6,-0.02765382034704089
36,2017-12-01,BLM,0.3,1,0.2755726426839828
37,2018-01-01,BLM,0.3,2,0.15419048070907593
38,2018-02-01,BLM,0.3,3,-0.006158028542995455
39,2018-03-01,BLM,0.3,4,-0.01574588865041733
40,2018-04-01,BLM,0.3,5,-0.023411547392606737
41,2018-05-01,BLM,0.3,6,-0.022219463996589185
42,2017-12-01,BLM,0.35,1,0.39839722067117683
43,2018-01-01,BLM,0.35,2,0.32103044092655175
44,2018-02-01,BLM,0.35,3,0.052655615471303444
45,2018-03-01,BLM,0.35,4,0.008950577024370403
46,2018-04-01,BLM,0.35,5,-0.007521175639703879
47,2018-05-01,BLM,0.35,6,-0.015964854136109353
48,2017-12-01,BLM,0.4,1,0.5908309102058412
49,2018-01-01,BLM,0.4,2,0.5183287620544433
50,2018-02-01,BLM,0.4,3,0.15673256814479833
51,2018-03-01,BLM,0.4,4,0.06901872307062157
52,2018-04-01,BLM,0.4,5,0.025384416058659556
53,2018-05-01,BLM,0.4,6,-0.0029226098209619482
54,2017-12-01,BLM,0.45,1,0.7474856048822404
55,2018-01-01,BLM,0.45,2,0.6996505826711655
56,2018-02-01,BLM,0.45,3,0.33442029803991324
57,2018-03-01,BLM,0.45,4,0.18131893649697306
58,2018-04-01,BLM,0.45,5,0.08148015141487122
59,2018-05-01,BLM,0.45,6,0.020446654688566924
60,2017-12-01,BLM,0.5,1,0.9228697121143341
61,2018-01-01,BLM,0.5,2,0.9008825421333313
62,2018-02-01,BLM,0.5,3,0.502930223941803
63,2018-03-01,BLM,0.5,4,0.3688249737024307
64,2018-04-01,BLM,0.5,5,0.15695074945688248
65,2018-05-01,BLM,0.5,6,0.0707051120698452
66,2017-12-01,BLM,0.55,1,1.2268647670745856
67,2018-01-01,BLM,0.55,2,1.262866812944414
68,2018-02-01,BLM,0.55,3,0.8039997518062594
69,2018-03-01,BLM,0.55,4,0.6707163244485858
70,2018-04-01,BLM,0.55,5,0.2760304391384127
71,2018-05-01,BLM,0.55,6,0.18533884733915337
